QUERY_ALIAS,QUERY
query-23-TPCDS-23-optimised,"select dt.d_year     ,item.i_brand_id brand_id     ,item.i_brand brand    ,sum(ss_ext_sales_price) sum_agg from store_sales    ,date_dim dt    ,item where dt.d_date_sk = store_sales.ss_sold_date_sk  and store_sales.ss_item_sk = item.i_item_sk  and item.i_manufact_id = 436  and dt.d_moy=12 group by dt.d_year    ,item.i_brand    ,item.i_brand_id order by dt.d_year     ,sum_agg desc     ,brand_id limit 100"
query-25-TPCDS-25-optimised,"with ss as (select ca_county,d_qoy, d_year,sum(ss_ext_sales_price) as store_sales from store_sales,date_dim,customer_address where ss_sold_date_sk = d_date_sk  and ss_addr_sk=ca_address_sk group by ca_county,d_qoy, d_year), ws as (select ca_county,d_qoy, d_year,sum(ws_ext_sales_price) as web_sales from web_sales,date_dim,customer_address where ws_sold_date_sk = d_date_sk  and ws_bill_addr_sk=ca_address_sk group by ca_county,d_qoy, d_year) select     ss1.ca_county    ,ss1.d_year    ,ws2.web_sales/ws1.web_sales web_q1_q2_increase    ,ss2.store_sales/ss1.store_sales store_q1_q2_increase    ,ws3.web_sales/ws2.web_sales web_q2_q3_increase    ,ss3.store_sales/ss2.store_sales store_q2_q3_increase from     ss ss1    ,ss ss2    ,ss ss3    ,ws ws1    ,ws ws2    ,ws ws3 where   ss1.d_qoy = 1   and ss1.d_year = 2000   and ss1.ca_county = ss2.ca_county   and ss2.d_qoy = 2   and ss2.d_year = 2000 and ss2.ca_county = ss3.ca_county   and ss3.d_qoy = 3   and ss3.d_year = 2000   and ss1.ca_county = ws1.ca_county   and ws1.d_qoy = 1   and ws1.d_year = 2000   and ws1.ca_county = ws2.ca_county   and ws2.d_qoy = 2   and ws2.d_year = 2000   and ws1.ca_county = ws3.ca_county   and ws3.d_qoy = 3   and ws3.d_year =2000   and case when ws1.web_sales > 0 then ws2.web_sales/ws1.web_sales else null end    > case when ss1.store_sales > 0 then ss2.store_sales/ss1.store_sales else null end   and case when ws2.web_sales > 0 then ws3.web_sales/ws2.web_sales else null end    > case when ss2.store_sales > 0 then ss3.store_sales/ss2.store_sales else null end order by ss1.d_year LIMIT 100"
query-27-TPCDS-27-optimised,"with ss as ( select      i_manufact_id,sum(ss_ext_sales_price) total_sales from     store_sales,     date_dim,     customer_address,     item where     i_manufact_id in (select  i_manufact_id from item where i_category in ('Books')) and   ss_item_sk       = i_item_sk and   ss_sold_date_sk     = d_date_sk and   d_year         = 1999 and   d_moy          = 3 and   ss_addr_sk       = ca_address_sk and   ca_gmt_offset      = -6  group by i_manufact_id), cs as ( select      i_manufact_id,sum(cs_ext_sales_price) total_sales from     catalog_sales,     date_dim,     customer_address,     item where     i_manufact_id        in (select  i_manufact_id from item where i_category in ('Books')) and   cs_item_sk       = i_item_sk and   cs_sold_date_sk     = d_date_sk and   d_year         = 1999 and   d_moy          = 3 and   cs_bill_addr_sk     = ca_address_sk and   ca_gmt_offset      = -6  group by i_manufact_id), ws as ( select      i_manufact_id,sum(ws_ext_sales_price) total_sales from     web_sales,     date_dim,     customer_address,     item where     i_manufact_id        in (select  i_manufact_id from item where i_category in ('Books')) and   ws_item_sk       = i_item_sk and   ws_sold_date_sk     = d_date_sk and   d_year         = 1999 and   d_moy          = 3 and   ws_bill_addr_sk     = ca_address_sk and   ca_gmt_offset      = -6 group by i_manufact_id)  select i_manufact_id ,sum(total_sales) total_sales from (select * from ss     union all     select * from cs     union all     select * from ws) tmp1 group by i_manufact_id order by total_sales limit 100"
query-28-TPCDS-28-optimised,"select c_last_name    ,c_first_name    ,c_salutation    ,c_preferred_cust_flag    ,ss_ticket_number    ,cnt from  (select ss_ticket_number      ,ss_customer_sk      ,count(*) cnt   from store_sales,date_dim,store,household_demographics   where store_sales.ss_sold_date_sk = date_dim.d_date_sk   and store_sales.ss_store_sk = store.s_store_sk    and store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk   and (date_dim.d_dom between 1 and 3 or date_dim.d_dom between 25 and 28)   and (household_demographics.hd_buy_potential = '>10000' or     household_demographics.hd_buy_potential = 'Unknown')   and household_demographics.hd_vehicle_count > 0   and (case when household_demographics.hd_vehicle_count > 0     then household_demographics.hd_dep_count/ household_demographics.hd_vehicle_count     else null     end) > 1.2   and date_dim.d_year in (2000,2000+1,2000+2)   and store.s_county in ('Mobile County','Maverick County','Huron County','Kittitas County',              'Fairfield County','Jackson County','Barrow County','Pennington County')   group by ss_ticket_number,ss_customer_sk) dn,customer   where ss_customer_sk = c_customer_sk    and cnt between 15 and 20   order by c_last_name,c_first_name,c_salutation,c_preferred_cust_flag desc, ss_ticket_number   limit 100"
query-31-TPCDS-31-optimised,"select i_item_id    ,i_item_desc    ,i_current_price from catalog_sales, item, inventory, date_dim where i_current_price between 22 and 22 + 30 and inv_item_sk = i_item_sk and d_date_sk=inv_date_sk and d_date between cast('2001-06-02' as date) and (cast('2001-06-02' as date) + interval 60 day) and i_manufact_id in (678,964,918,849) and inv_quantity_on_hand between 100 and 500 and cs_item_sk = i_item_sk group by i_item_id,i_item_desc,i_current_price order by i_item_id limit 100"
query-35-TPCDS-35-optimised,"select   w_state  ,i_item_id  ,sum(case when (cast(d_date as date) < cast ('1998-04-08' as date))          then cs_sales_price - coalesce(cr_refunded_cash,0) else 0 end) as sales_before  ,sum(case when (cast(d_date as date) >= cast ('1998-04-08' as date))          then cs_sales_price - coalesce(cr_refunded_cash,0) else 0 end) as sales_after from  catalog_sales left outer join catalog_returns on    (cs_order_number = cr_order_number     and cs_item_sk = cr_item_sk)  ,warehouse  ,item  ,date_dim where   i_current_price between 0.99 and 1.49 and i_item_sk     = cs_item_sk and cs_warehouse_sk  = w_warehouse_sk  and cs_sold_date_sk  = d_date_sk and d_date between (cast ('1998-04-08' as date) - interval 30 day)         and (cast ('1998-04-08' as date) + interval 30 day) group by   w_state,i_item_id order by w_state,i_item_id limit 100"
query-37-TPCDS-37-optimised,"select dt.d_year     ,item.i_category_id     ,item.i_category     ,sum(ss_ext_sales_price) from  store_sales      ,date_dim dt     ,item where dt.d_date_sk = store_sales.ss_sold_date_sk     and store_sales.ss_item_sk = item.i_item_sk     and item.i_manager_id = 1     and dt.d_moy=12     and dt.d_year=1998 group by     dt.d_year         ,item.i_category_id         ,item.i_category order by    sum(ss_ext_sales_price) desc,dt.d_year         ,item.i_category_id         ,item.i_category limit 100 "
query-40-TPCDS-40-optimised,"select ca_zip, ca_county, sum(ws_sales_price) from web_sales, customer, customer_address, date_dim, item where ws_bill_customer_sk = c_customer_sk     and c_current_addr_sk = ca_address_sk      and ws_item_sk = i_item_sk      and ( substr(ca_zip,1,5) in ('85669', '86197','88274','83405','86475', '85392', '85460', '80348', '81792')        or         i_item_id in (select i_item_id               from item               where i_item_sk in (2, 3, 5, 7, 11, 13, 17, 19, 23, 29)               )       )     and ws_sold_date_sk = d_date_sk     and d_qoy = 2 and d_year = 2000 group by ca_zip, ca_county order by ca_zip, ca_county limit 100"
query-41-TPCDS-41-optimised,"select c_last_name    ,c_first_name    ,ca_city    ,bought_city    ,ss_ticket_number    ,amt,profit  from  (select ss_ticket_number      ,ss_customer_sk      ,ca_city bought_city      ,sum(ss_coupon_amt) amt      ,sum(ss_net_profit) profit   from store_sales,date_dim,store,household_demographics,customer_address   where store_sales.ss_sold_date_sk = date_dim.d_date_sk   and store_sales.ss_store_sk = store.s_store_sk    and store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk   and store_sales.ss_addr_sk = customer_address.ca_address_sk   and (household_demographics.hd_dep_count = 2 or     household_demographics.hd_vehicle_count= 1)   and date_dim.d_dow in (6,0)   and date_dim.d_year in (1998,1998+1,1998+2)   and store.s_city in ('Cedar Grove','Wildwood','Union','Salem','Highland Park')   group by ss_ticket_number,ss_customer_sk,ss_addr_sk,ca_city) dn,customer,customer_address current_addr   where ss_customer_sk = c_customer_sk    and customer.c_current_addr_sk = current_addr.ca_address_sk    and current_addr.ca_city <> bought_city  order by c_last_name      ,c_first_name      ,ca_city      ,bought_city      ,ss_ticket_number  limit 100"
query-42-TPCDS-42-optimised,"with v1 as( select i_category, i_brand,     s_store_name, s_company_name,     d_year, d_moy,     sum(ss_sales_price) sum_sales,     avg(sum(ss_sales_price)) over      (partition by i_category, i_brand,           s_store_name, s_company_name, d_year)      avg_monthly_sales,     rank() over      (partition by i_category, i_brand,           s_store_name, s_company_name      order by d_year, d_moy) rn from store_sales, item, date_dim, store where ss_item_sk = i_item_sk and    ss_sold_date_sk = d_date_sk and    ss_store_sk = s_store_sk and    (     d_year = 2000 or     ( d_year = 2000-1 and d_moy =12) or     ( d_year = 2000+1 and d_moy =1)    ) group by i_category, i_brand,      s_store_name, s_company_name,      d_year, d_moy), v2 as( select v1.i_category, v1.i_brand     ,v1.d_year, v1.d_moy     ,v1.avg_monthly_sales     ,v1.sum_sales, v1_lag.sum_sales psum, v1_lead.sum_sales nsum from v1, v1 v1_lag, v1 v1_lead where v1.i_category = v1_lag.i_category and    v1.i_category = v1_lead.i_category and    v1.i_brand = v1_lag.i_brand and    v1.i_brand = v1_lead.i_brand and    v1.s_store_name = v1_lag.s_store_name and    v1.s_store_name = v1_lead.s_store_name and    v1.s_company_name = v1_lag.s_company_name and    v1.s_company_name = v1_lead.s_company_name and    v1.rn = v1_lag.rn + 1 and    v1.rn = v1_lead.rn - 1)  select * from v2 where d_year = 2000 and       avg_monthly_sales > 0 and     case when avg_monthly_sales > 0 then abs(sum_sales - avg_monthly_sales) / avg_monthly_sales else null end > 0.1 order by sum_sales - avg_monthly_sales, nsum limit 100"
query-44-TPCDS-44-optimised,"select channel, item, return_ratio, return_rank, currency_rank from (select 'web' as channel ,web.item ,web.return_ratio ,web.return_rank ,web.currency_rank from (     select      item     ,return_ratio     ,currency_ratio     ,rank() over (order by return_ratio) as return_rank     ,rank() over (order by currency_ratio) as currency_rank     from     (    select ws.ws_item_sk as item         ,(cast(sum(coalesce(wr.wr_return_quantity,0)) as decimal(15,4))/         cast(sum(coalesce(ws.ws_quantity,0)) as decimal(15,4) )) as return_ratio         ,(cast(sum(coalesce(wr.wr_return_amt,0)) as decimal(15,4))/         cast(sum(coalesce(ws.ws_net_paid,0)) as decimal(15,4) )) as currency_ratio         from          web_sales ws left outer join web_returns wr              on (ws.ws_order_number = wr.wr_order_number and              ws.ws_item_sk = wr.wr_item_sk)         ,date_dim         where              wr.wr_return_amt > 10000              and ws.ws_net_profit > 1             and ws.ws_net_paid > 0             and ws.ws_quantity > 0             and ws_sold_date_sk = d_date_sk             and d_year = 2000             and d_moy = 12         group by ws.ws_item_sk     ) in_web ) web where  ( web.return_rank <= 10 or web.currency_rank <= 10 ) union select  'catalog' as channel ,catalog.item ,catalog.return_ratio ,catalog.return_rank ,catalog.currency_rank from (     select      item     ,return_ratio     ,currency_ratio     ,rank() over (order by return_ratio) as return_rank     ,rank() over (order by currency_ratio) as currency_rank     from     (    select          cs.cs_item_sk as item         ,(cast(sum(coalesce(cr.cr_return_quantity,0)) as decimal(15,4))/         cast(sum(coalesce(cs.cs_quantity,0)) as decimal(15,4) )) as return_ratio         ,(cast(sum(coalesce(cr.cr_return_amount,0)) as decimal(15,4))/         cast(sum(coalesce(cs.cs_net_paid,0)) as decimal(15,4) )) as currency_ratio         from          catalog_sales cs left outer join catalog_returns cr             on (cs.cs_order_number = cr.cr_order_number and              cs.cs_item_sk = cr.cr_item_sk)         ,date_dim         where              cr.cr_return_amount > 10000              and cs.cs_net_profit > 1             and cs.cs_net_paid > 0             and cs.cs_quantity > 0             and cs_sold_date_sk = d_date_sk             and d_year = 2000             and d_moy = 12         group by cs.cs_item_sk     ) in_cat ) catalog where  ( catalog.return_rank <= 10 or catalog.currency_rank <=10 ) union select  'store' as channel ,store.item ,store.return_ratio ,store.return_rank ,store.currency_rank from (     select      item     ,return_ratio     ,currency_ratio     ,rank() over (order by return_ratio) as return_rank     ,rank() over (order by currency_ratio) as currency_rank     from     (    select sts.ss_item_sk as item         ,(cast(sum(coalesce(sr.sr_return_quantity,0)) as decimal(15,4))/cast(sum(coalesce(sts.ss_quantity,0)) as decimal(15,4) )) as return_ratio         ,(cast(sum(coalesce(sr.sr_return_amt,0)) as decimal(15,4))/cast(sum(coalesce(sts.ss_net_paid,0)) as decimal(15,4) )) as currency_ratio         from          store_sales sts left outer join store_returns sr             on (sts.ss_ticket_number = sr.sr_ticket_number and sts.ss_item_sk = sr.sr_item_sk)         ,date_dim         where              sr.sr_return_amt > 10000              and sts.ss_net_profit > 1             and sts.ss_net_paid > 0              and sts.ss_quantity > 0             and ss_sold_date_sk = d_date_sk             and d_year = 2000             and d_moy = 12         group by sts.ss_item_sk     ) in_store ) store where ( store.return_rank <= 10 or  store.currency_rank <= 10 ) ) order by 1,4,5,2 limit 100"
query-46-TPCDS-46-optimised,"select   s_store_name  ,s_company_id  ,s_street_number  ,s_street_name  ,s_street_type  ,s_suite_number  ,s_city  ,s_county  ,s_state  ,s_zip  ,sum(case when (sr_returned_date_sk - ss_sold_date_sk <= 30 ) then 1 else 0 end) as ""30 days""  ,sum(case when (sr_returned_date_sk - ss_sold_date_sk > 30) and          (sr_returned_date_sk - ss_sold_date_sk <= 60) then 1 else 0 end ) as ""31-60 days""  ,sum(case when (sr_returned_date_sk - ss_sold_date_sk > 60) and          (sr_returned_date_sk - ss_sold_date_sk <= 90) then 1 else 0 end) as ""61-90 days""  ,sum(case when (sr_returned_date_sk - ss_sold_date_sk > 90) and         (sr_returned_date_sk - ss_sold_date_sk <= 120) then 1 else 0 end) as ""91-120 days""  ,sum(case when (sr_returned_date_sk - ss_sold_date_sk > 120) then 1 else 0 end) as "">120 days"" from  store_sales  ,store_returns  ,store  ,date_dim d1  ,date_dim d2 where   d2.d_year = 2000 and d2.d_moy = 9 and ss_ticket_number = sr_ticket_number and ss_item_sk = sr_item_sk and ss_sold_date_sk  = d1.d_date_sk and sr_returned_date_sk  = d2.d_date_sk and ss_customer_sk = sr_customer_sk and ss_store_sk = s_store_sk group by  s_store_name  ,s_company_id  ,s_street_number  ,s_street_name  ,s_street_type  ,s_suite_number  ,s_city  ,s_county  ,s_state  ,s_zip order by s_store_name     ,s_company_id     ,s_street_number     ,s_street_name     ,s_street_type     ,s_suite_number     ,s_city     ,s_county     ,s_state     ,s_zip limit 100"
query-48-TPCDS-48-optimised,"select dt.d_year     ,item.i_brand_id brand_id     ,item.i_brand brand     ,sum(ss_ext_sales_price) ext_price from store_sales   ,date_dim dt   ,item where dt.d_date_sk = store_sales.ss_sold_date_sk   and store_sales.ss_item_sk = item.i_item_sk   and item.i_manager_id = 1   and dt.d_moy=12   and dt.d_year=1998 group by dt.d_year     ,item.i_brand     ,item.i_brand_id order by dt.d_year     ,ext_price desc     ,brand_id limit 100 "
query-49-TPCDS-49-optimised,"select * from (select i_manufact_id, sum(ss_sales_price) sum_sales, avg(sum(ss_sales_price)) over (partition by i_manufact_id) avg_quarterly_sales from store_sales, item, date_dim, store where ss_item_sk = i_item_sk and ss_sold_date_sk = d_date_sk and ss_store_sk = s_store_sk and d_month_seq in (1212,1212+1,1212+2,1212+3,1212+4,1212+5,1212+6,1212+7,1212+8,1212+9,1212+10,1212+11) and ((i_category in ('Books','Children','Electronics') and i_class in ('personal','portable','reference','self-help') and i_brand in ('scholaramalgamalg #14','scholaramalgamalg #7',         'exportiunivamalg #9','scholaramalgamalg #9')) or(i_category in ('Women','Music','Men') and i_class in ('accessories','classical','fragrances','pants') and i_brand in ('amalgimporto #1','edu packscholar #1','exportiimporto #1',         'importoamalg #1'))) group by i_manufact_id, d_qoy ) tmp1 where case when avg_quarterly_sales > 0     then abs (sum_sales - avg_quarterly_sales)/ avg_quarterly_sales     else null end > 0.1 order by avg_quarterly_sales,     sum_sales,     i_manufact_id limit 100"
query-50-TPCDS-50-optimised,"with my_customers as ( select distinct c_customer_sk     , c_current_addr_sk from      ( select cs_sold_date_sk sold_date_sk,         cs_bill_customer_sk customer_sk,         cs_item_sk item_sk      from  catalog_sales      union all      select ws_sold_date_sk sold_date_sk,         ws_bill_customer_sk customer_sk,         ws_item_sk item_sk      from  web_sales     ) cs_or_ws_sales,     item,     date_dim,     customer where  sold_date_sk = d_date_sk     and item_sk = i_item_sk     and i_category = 'Jewelry'     and i_class = 'consignment'     and c_customer_sk = cs_or_ws_sales.customer_sk     and d_moy = 3     and d_year = 1999 ) , my_revenue as ( select c_customer_sk,     sum(ss_ext_sales_price) as revenue from  my_customers,     store_sales,     customer_address,     store,     date_dim where c_current_addr_sk = ca_address_sk     and ca_county = s_county     and ca_state = s_state     and ss_sold_date_sk = d_date_sk     and c_customer_sk = ss_customer_sk     and d_month_seq between (select distinct d_month_seq+1                 from  date_dim where d_year = 1999 and d_moy = 3)              and (select distinct d_month_seq+3                 from  date_dim where d_year = 1999 and d_moy = 3) group by c_customer_sk ) , segments as (select cast((revenue/50) as int) as segment  from  my_revenue )  select segment, count(*) as num_customers, segment*50 as segment_base from segments group by segment order by segment, num_customers limit 100"
query-51-TPCDS-51-optimised,"select i_brand_id brand_id, i_brand brand,     sum(ss_ext_sales_price) ext_price from store_sales, date_dim, item where d_date_sk = ss_sold_date_sk     and ss_item_sk = i_item_sk     and i_manager_id=36     and d_moy=12     and d_year=2001 group by i_brand, i_brand_id order by ext_price desc, i_brand_id limit 100 "
query-52-TPCDS-52-optimised,"with ss as ( select i_item_id,sum(ss_ext_sales_price) total_sales from     store_sales,     date_dim,     customer_address,     item where i_item_id in (select   i_item_id from item where i_color in ('orchid','chiffon','lace')) and   ss_item_sk       = i_item_sk and   ss_sold_date_sk     = d_date_sk and   d_year         = 2000 and   d_moy          = 1 and   ss_addr_sk       = ca_address_sk and   ca_gmt_offset      = -8  group by i_item_id), cs as ( select i_item_id,sum(cs_ext_sales_price) total_sales from     catalog_sales,     date_dim,     customer_address,     item where     i_item_id        in (select  i_item_id from item where i_color in ('orchid','chiffon','lace')) and   cs_item_sk       = i_item_sk and   cs_sold_date_sk     = d_date_sk and   d_year         = 2000 and   d_moy          = 1 and   cs_bill_addr_sk     = ca_address_sk and   ca_gmt_offset      = -8  group by i_item_id), ws as ( select i_item_id,sum(ws_ext_sales_price) total_sales from     web_sales,     date_dim,     customer_address,     item where     i_item_id        in (select  i_item_id from item where i_color in ('orchid','chiffon','lace')) and   ws_item_sk       = i_item_sk and   ws_sold_date_sk     = d_date_sk and   d_year         = 2000 and   d_moy          = 1 and   ws_bill_addr_sk     = ca_address_sk and   ca_gmt_offset      = -8 group by i_item_id)  select i_item_id ,sum(total_sales) total_sales from (select * from ss     union all     select * from cs     union all     select * from ws) tmp1 group by i_item_id order by total_sales,      i_item_id limit 100"
